INSERT INTO Friends (UserIDa,UserIDb) VALUES
(1,90),
(1,94),
(1,4),
(1,37),

(2,28),
(2,78),
(2,67),
(2,27),
(2,65),
(2,43),
(2,9),
(2,4),
(2,84),

(3,74),

(4,87),
(4,56),
(4,29),

(5,88),
(5,86),
(5,37),
(5,1),
(5,52),
(5,99),
(5,73),

(6,5),
(6,31),
(6,79),
(6,48),
(6,1),

(7,17),
(7,63),
(7,95),
(7,73),
(7,57),
(7,17),
(7,83),
(7,28),

(8,56),
(8,91),
(8,50),
(8,38),
(8,24),

(9,62),
(9,50),
(9,51),
(9,69),

(10,49),
(10,18),

(11,60),
(11,30),
(11,35),
(11,90),

(12,41),
(12,75),
(12,7),
(12,12),
(12,74),
(12,43),
(12,81),

(13,3),
(13,13),
(13,39),
(13,80),

(14,46),
(14,81),
(14,40),
(14,11),
(14,82),
(14,59),
(14,7),
(14,79),

(15,24),
(15,70),

(16,57),
(16,85),
(16,84),
(16,17),
(16,98),
(16,92),

(17,36),
(17,16),


(19,12),
(19,21),
(19,89),
(19,56),
(19,30),
(19,18),

(20,28),
(20,15),
(20,65),
(20,97),
(20,77),

(21,18),
(21,46),
(21,52),
(21,29),

(22,90),
(22,1),
(22,87),
(22,17),
(22,59),

(23,60),
(23,66),
(23,90),
(23,53),

(24,19),

(25,14),
(25,42),

(26,16),
(26,53),
(26,70),
(26,49),

(27,84),
(27,87),
(27,6),
(27,84),


(29,3),
(29,89),
(29,73),

(30,23),
(30,78),
(30,96),
(30,65),

(31,36),
(31,92),

(32,40),
(32,46),
(32,4),
(32,63),

(33,4),
(33,98),

(34,26),
(34,6),
(34,50),
(34,66),

(35,32),
(35,35),
(35,47),
(35,73),
(35,13),
(35,71),

(36,10),
(36,42),
(36,89),
(36,47),
(36,42),
(36,81),

(37,96),
(37,90),

(38,79),
(38,28),
(38,56),
(38,61),
(38,46),

(39,29),
(39,53),
(39,98),
(39,9),
(39,41),

(40,54),

(41,28),
(41,87),
(41,10),
(41,72),
(41,97),

(42,15),

(43,95),
(43,93),
(43,33),
(43,71),
(43,81),

(44,16),
(44,79),
(44,44),
(44,18),

(45,53),
(45,37),
(45,74),
(45,24),

(46,73),
(46,76),
(46,42),
(46,17),
(46,54),

(47,98),
(47,20),

(48,45),
(48,93),

(49,75),
(49,8),

(50,63),
(50,89),
(50,40),

(51,35),
(51,43),
(51,39),
(51,34),

(52,2),

(53,80),
(53,79),
(53,63),
(53,86),
(53,58),


(55,5),

(56,30),
(56,72),
(56,27),
(56,97),

(57,10),
(57,93),

(58,99),
(58,62),
(58,81),
(58,54),
(58,27),
(58,1),
(58,84),

(59,12),

(60,10),
(60,11),
(60,27),
(60,59),

(61,38),

(62,96),
(62,89),
(62,39),

(63,45),
(63,57),
(63,56),
(63,23),
(63,28),

(64,20),
(64,49),

(65,32),
(65,69),
(65,9),
(65,31),
(65,73),
(65,21),
(65,68),
(65,35),

(66,75),
(66,46),
(66,74),
(66,80),
(66,44),

(67,21),
(67,61),
(67,92),
(67,92),

(68,2),
(68,56),

(69,45),

(70,79),
(70,97),
(70,89),
(70,34),
(70,59),
(70,96),

(71,69),
(71,31),
(71,49),
(71,98),
(71,55),

(72,85),
(72,10),
(72,90),

(73,100),
(73,72),
(73,100),


(75,56),
(75,85),
(75,57),

(76,21),
(76,38),
(76,57),
(76,9),
(76,31),
(76,90),
(76,49),
(76,56),

(77,48),

(78,72),
(78,96),
(78,41),

(79,8),
(79,99),

(80,30),
(80,83),

(81,55),
(81,75),
(81,19),
(81,84),
(81,35),

(82,28),

(83,33),

(84,72),
(84,62),

(85,37),
(85,89),

(86,26),
(86,47),

(87,97),
(87,52),
(87,88),
(87,65),

(88,48),
(88,16),
(88,21),
(88,37),
(88,12),
(88,44),

(89,70),
(89,50),

(90,51),

(91,44),
(91,89),
(91,23),
(91,49),
(91,51),
(91,3),
(91,68),

(92,93),

(93,30),
(93,8),
(93,44),
(93,12),
(93,83),
(93,23),

(94,21),
(94,26),

(95,77),
(95,65),
(95,86),

(96,7),
(96,2),
(96,66),
(96,2),
(96,4),

(97,83),
(97,29),
(97,84),
(97,37),
(97,35),

(98,67),
(98,23),

(99,22);
