INSERT INTO Library (UserID,GameID,Rating) VALUES
(3,776,0),

(4,3814,0),

(5,4211,1),

(6,6695,1),
(6,6871,5),
(6,1326,5),
(6,3261,2),
(6,5331,2),
(6,275,0),
(6,750,4),
(6,6053,1),
(6,4265,0),
(6,5232,4),
(6,3784,1),
(6,5342,4),
(6,4618,0),
(6,6209,5),
(6,1749,3),
(6,3486,4),
(6,5274,4),
(6,1796,3),
(6,4090,1),
(6,2029,4),
(6,6103,3),
(6,5039,2),
(6,1231,1),
(6,2914,2),

(7,394,2),
(7,2508,1),
(7,5775,1),
(7,4104,0),
(7,4313,4),
(7,2664,0),
(7,6790,4),
(7,4862,2),
(7,5541,5),
(7,368,4),
(7,3961,4),
(7,6066,2),
(7,6303,4),
(7,33,2),
(7,2791,3),
(7,1493,5),
(7,5774,2),
(7,1964,4),
(7,5877,1),

(8,772,3),
(8,1683,0),
(8,3645,4),
(8,6128,2),
(8,1172,5),
(8,6335,1),
(8,452,1),
(8,223,0),
(8,922,3),
(8,2777,5),
(8,2123,0),
(8,4304,2),
(8,472,1),
(8,1890,0),
(8,2681,4),
(8,3804,3),

(9,4931,2),
(9,3744,3),
(9,41,4),
(9,3812,2),
(9,4283,2),
(9,6142,3),

(10,5754,4),
(10,1857,1),
(10,3448,5),
(10,576,5),
(10,4483,5),
(10,4701,0),
(10,6819,3),
(10,4144,1),
(10,2494,0),
(10,3120,2),
(10,5131,0),
(10,2410,5),
(10,48,0),
(10,4716,5),
(10,906,0),
(10,3388,2),

(11,2700,1),
(11,424,5),
(11,5067,0),
(11,5127,5),

(12,3097,0),
(12,3821,4),
(12,2257,2),
(12,6678,1),
(12,3405,4),
(12,827,2),
(12,6903,0),
(12,113,4),
(12,6023,3),

(13,4128,0),
(13,6791,2),
(13,1171,1),
(13,3174,1),
(13,3612,5),
(13,1676,3),
(13,2209,2),
(13,6857,1),
(13,1781,1),
(13,4107,3),
(13,6836,3),
(13,3372,4),

(14,6149,5),

(15,3295,0),
(15,1353,1),
(15,568,0),
(15,5089,3),
(15,791,0),
(15,3710,3),
(15,4444,3),
(15,6367,1),
(15,3335,2),
(15,784,1),
(15,1025,3),
(15,4691,3),

(16,3869,1),
(16,4617,0),
(16,4018,0),
(16,4332,1),
(16,5611,1),
(16,4456,5),
(16,5771,0),
(16,5184,3),
(16,4121,1),
(16,6093,1),
(16,1021,5),
(16,3904,4),
(16,4639,1),
(16,6216,4),
(16,978,5),
(16,5264,5),
(16,4232,0),
(16,6612,5),
(16,1210,1),
(16,4115,3),
(16,2221,0),
(16,5303,3),

(17,3711,5),
(17,522,4),
(17,357,4),
(17,2715,4),
(17,2044,3),
(17,4775,3),
(17,6083,4),
(17,1113,3),
(17,2477,3),
(17,5207,3),
(17,3079,3),
(17,1161,3),

(18,5045,4),
(18,1606,0),
(18,5324,3),
(18,4124,4),
(18,913,5),

(19,6517,2),
(19,3369,0),
(19,4216,1),
(19,5542,0),
(19,1319,3),
(19,2672,4),
(19,388,3),
(19,6447,1),
(19,753,1),

(20,4510,2),
(20,1329,0),
(20,3362,3),
(20,6190,4),
(20,5318,1),
(20,5657,0),
(20,3845,4),

(21,1494,3),
(21,2769,3),
(21,670,1),
(21,2802,2),
(21,2710,4),
(21,910,5),
(21,1375,4),
(21,6929,1),
(21,203,3),
(21,309,0),
(21,3226,3),
(21,4379,5),
(21,2183,0),

(22,4098,4),
(22,2223,2),
(22,1487,5),

(23,4228,4),
(23,2566,0),
(23,4092,2),
(23,4729,3),
(23,3113,2),
(23,2427,0),
(23,5086,2),
(23,6911,4),
(23,2565,3),
(23,6555,0),
(23,3635,3),
(23,2349,4),
(23,4451,4),
(23,1875,2),
(23,5638,1),

(24,214,0),

(25,3058,5),
(25,5445,2),
(25,2024,4),
(25,4705,5),
(25,5813,0),
(25,6910,2),
(25,4224,1),
(25,3208,2),
(25,1930,1),
(25,2437,3),
(25,6226,4),
(25,2300,3),
(25,313,5),
(25,6655,5),
(25,1742,1),
(25,727,2),
(25,5744,0),
(25,6591,2),
(25,2540,5),
(25,3201,3),
(25,2035,2),
(25,647,1),

(26,5634,5),

(27,6923,5),
(27,3733,0),
(27,6497,2),
(27,1517,2),
(27,5418,0),

(28,6381,5),
(28,3199,3),
(28,2768,1),
(28,3665,2),
(28,6647,0),
(28,6918,4),
(28,5931,5),
(28,2949,4),

(29,6371,0),
(29,5128,4),
(29,4008,3),
(29,4685,1),
(29,6104,2),
(29,598,1),
(29,5472,1),

(30,4806,5),
(30,4997,4),
(30,3250,0),
(30,4848,1),
(30,2620,0),
(30,919,1),
(30,5815,3),
(30,6690,0),
(30,1780,3),
(30,262,0),
(30,4953,1),
(30,2473,2),
(30,1494,3),
(30,6809,1),
(30,5286,5),
(30,6729,2),
(30,5542,2),
(30,4348,4),
(30,2646,5),

(31,1680,2),
(31,2894,0),
(31,4694,0),
(31,2689,4),
(31,322,4),
(31,6499,4),
(31,607,0),
(31,1431,4),

(32,812,5),
(32,1168,5),
(32,899,4),
(32,3819,2),
(32,2535,2),
(32,6146,1),
(32,2404,3),
(32,2255,1),

(33,1117,5),
(33,4555,1),
(33,3418,3),
(33,2256,0),
(33,1066,5),
(33,6304,5),
(33,1916,4),
(33,1756,2),
(33,4344,4),
(33,3996,2),
(33,2818,2),

(34,268,1),
(34,4402,0),
(34,2878,2),
(34,2087,4),
(34,3207,2),
(34,1145,1),
(34,4240,4),
